round,minutes_used,timing_tag,is_correct,player_rating,landmark,landmark_Glucksman Gallery,landmark_Honan Collegiate Chapel,landmark_Boole Library,landmark_The Quad / Aula Maxima,landmark_Brookfield Health Sciences Complex,landmark_Student Centre,landmark_Geography Building
1,7.955426841972047,in_time,0,-0.004261539744254941,Honan Collegiate Chapel,0.0,0.004261539744254941,0.0,0.0,0.0,0.0,0.0
2,7.39320696472503,in_time,1,0.001288856917072481,Honan Collegiate Chapel,0.0,-0.001288856917072481,0.0,0.0,0.0,0.0,0.0
3,8.743429791174227,in_time,0,-0.001402304801613131,Geography Building,0.0,-0.001288856917072481,0.0,0.0,0.0,0.0,0.0026202379837861377
4,10.096159931692076,timeout,0,-0.0013922111298162645,Glucksman Gallery,-9.699273622459258e-06,-0.001288856917072481,0.0,0.0,0.0,0.0,0.0026202379837861377
5,6.4466044950687165,in_time,1,0.006387806632744006,Geography Building,-9.699273622459258e-06,-0.001288856917072481,0.0,0.0,0.0,0.0,-0.004858833532944439
6,4.594670143193591,in_time,1,0.01826626743300976,Glucksman Gallery,-0.011282459523166448,-0.001288856917072481,0.0,0.0,0.0,0.0,-0.004858833532944439
7,8.291562774811917,in_time,1,0.02192764528972176,Honan Collegiate Chapel,-0.011282459523166448,-0.004765368570640537,0.0,0.0,0.0,0.0,-0.004858833532944439
8,7.945399987641848,in_time,1,0.026350307222541742,Honan Collegiate Chapel,-0.011282459523166448,-0.00896689740681952,0.0,0.0,0.0,0.0,-0.004858833532944439
9,7.09902008687678,in_time,1,0.032776595888542384,Student Centre,-0.011282459523166448,-0.00896689740681952,0.0,0.0,0.0,-0.005793330001223562,-0.004858833532944439
10,7.495140782884159,in_time,1,0.03830896170809235,Boole Library,-0.011282459523166448,-0.00896689740681952,-0.004925976602522167,0.0,0.0,-0.005793330001223562,-0.004858833532944439
11,6.2222713190336485,in_time,0,0.02916620208121881,Boole Library,-0.011282459523166448,-0.00896689740681952,0.003224070517948217,0.0,0.0,-0.005793330001223562,-0.004858833532944439
12,7.740976282356657,in_time,1,0.034278492801315466,Boole Library,-0.011282459523166448,-0.00896689740681952,-0.0013382925151260916,0.0,0.0,-0.005793330001223562,-0.004858833532944439
13,9.61175851217859,in_time,1,0.03493178483381956,Brookfield Health Sciences Complex,-0.011282459523166448,-0.00896689740681952,-0.0013382925151260916,0.0,-0.0005608208142728511,-0.005793330001223562,-0.004858833532944439
14,6.882217476872001,in_time,0,0.02715897160377773,Boole Library,-0.011282459523166448,-0.00896689740681952,0.005523644164520217,0.0,-0.0005608208142728511,-0.005793330001223562,-0.004858833532944439
15,7.018950916267207,in_time,1,0.03413820500875961,Geography Building,-0.011282459523166448,-0.00896689740681952,0.005523644164520217,0.0,-0.0005608208142728511,-0.005793330001223562,-0.010867980441480962
16,6.2822615243040625,in_time,1,0.042883513891910724,Honan Collegiate Chapel,-0.011282459523166448,-0.016606477580606707,0.005523644164520217,0.0,-0.0005608208142728511,-0.005793330001223562,-0.010867980441480962
17,11.12563698153766,timeout,0,0.04252842832359617,The Quad / Aula Maxima,-0.011282459523166448,-0.016606477580606707,0.005523644164520217,0.00029076818235568936,-0.0005608208142728511,-0.005793330001223562,-0.010867980441480962
18,6.918860632237615,in_time,1,0.049897715371829576,The Quad / Aula Maxima,-0.011282459523166448,-0.016606477580606707,0.005523644164520217,-0.0057553551065939144,-0.0005608208142728511,-0.005793330001223562,-0.010867980441480962
19,5.773119809933402,in_time,1,0.06005926910064495,Geography Building,-0.011282459523166448,-0.016606477580606707,0.005523644164520217,-0.0057553551065939144,-0.0005608208142728511,-0.005793330001223562,-0.0193317498220413
20,7.658023406262808,in_time,1,0.06547867989355098,The Quad / Aula Maxima,-0.011282459523166448,-0.016606477580606707,0.005523644164520217,-0.010159870120657081,-0.0005608208142728511,-0.005793330001223562,-0.0193317498220413
21,6.390259203781339,in_time,1,0.07403575766510746,Geography Building,-0.011282459523166448,-0.016606477580606707,0.005523644164520217,-0.010159870120657081,-0.0005608208142728511,-0.005793330001223562,-0.026391598919109166
22,5.389529543291182,in_time,0,0.06137190154872256,Brookfield Health Sciences Complex,-0.011282459523166448,-0.016606477580606707,0.005523644164520217,-0.010159870120657081,0.009369828946057764,-0.005793330001223562,-0.026391598919109166
23,9.963162259223537,in_time,1,0.060842911019958076,The Quad / Aula Maxima,-0.011282459523166448,-0.016606477580606707,0.005523644164520217,-0.009738566949533938,0.009369828946057764,-0.005793330001223562,-0.026391598919109166
24,7.737156575311249,in_time,1,0.06620984693356823,The Quad / Aula Maxima,-0.011282459523166448,-0.016606477580606707,0.005523644164520217,-0.014021977430762347,0.009369828946057764,-0.005793330001223562,-0.026391598919109166
25,6.658112525355392,in_time,0,0.05656835105017047,Glucksman Gallery,-0.003868520448301653,-0.016606477580606707,0.005523644164520217,-0.014021977430762347,0.009369828946057764,-0.005793330001223562,-0.026391598919109166
26,6.8411880686495765,in_time,0,0.04749575939756902,Glucksman Gallery,0.0031249356172453023,-0.016606477580606707,0.005523644164520217,-0.014021977430762347,0.009369828946057764,-0.005793330001223562,-0.026391598919109166
27,11.124979983554589,timeout,0,0.04711499460998626,Boole Library,0.0031249356172453023,-0.016606477580606707,0.005817851629552588,-0.014021977430762347,0.009369828946057764,-0.005793330001223562,-0.026391598919109166
28,8.72199072604307,in_time,1,0.05015150312958178,Student Centre,0.0031249356172453023,-0.016606477580606707,0.005817851629552588,-0.014021977430762347,0.009369828946057764,-0.008024234219701904,-0.026391598919109166
