round,time_limit,player,landmark,minutes_used,timing_tag,is_correct,player_Novice,player_Average,player_Expert,landmark_Glucksman Gallery,landmark_Honan Collegiate Chapel,landmark_Boole Library,landmark_The Quad / Aula Maxima,landmark_Brookfield Health Sciences Complex,landmark_Student Centre,landmark_Geography Building
1,5,Novice,Brookfield Health Sciences Complex,17.95984284935016,timeout,0,1.174320095742587e-07,0.0,0.0,0.0,0.0,0.0,0.0,-1.174320095742587e-07,0.0,0.0
2,5,Average,Geography Building,9.680111325159343,timeout,0,1.174320095742587e-07,1.174320095742587e-07,0.0,0.0,0.0,0.0,0.0,-1.174320095742587e-07,0.0,-1.174320095742587e-07
3,5,Expert,Geography Building,7.196029694989852,timeout,0,1.174320095742587e-07,1.174320095742587e-07,1.1725594958988948e-07,0.0,0.0,0.0,0.0,-1.174320095742587e-07,0.0,-2.3627249902347101e-07
4,5,Expert,The Quad / Aula Maxima,3.523875658920336,in_time,1,1.174320095742587e-07,1.174320095742587e-07,0.006227635660368872,0.0,0.0,0.0,-0.006144484825693692,-1.174320095742587e-07,0.0,-2.3627249902347101e-07
5,5,Average,Geography Building,9.228190617355565,timeout,0,1.174320095742587e-07,2.3592037905473258e-07,0.006227635660368872,0.0,0.0,0.0,-0.006144484825693692,-1.174320095742587e-07,0.0,-3.5634540836326776e-07
6,5,Novice,Brookfield Health Sciences Complex,13.351377232551291,timeout,0,2.360964390391018e-07,2.3592037905473258e-07,0.006227635660368872,0.0,0.0,0.0,-0.006144484825693692,-2.360964390391018e-07,0.0,-3.5634540836326776e-07
7,5,Expert,Brookfield Health Sciences Complex,4.939181863602661,in_time,0,2.360964390391018e-07,2.3592037905473258e-07,0.005924599616289168,0.0,0.0,0.0,-0.006144484825693692,0.00030279994764066524,0.0,-3.5634540836326776e-07
8,5,Average,Geography Building,8.564883124526343,timeout,0,2.360964390391018e-07,3.5564116842579094e-07,0.005924599616289168,0.0,0.0,0.0,-0.006144484825693692,0.00030279994764066524,0.0,-4.776507375936489e-07
9,5,Expert,Honan Collegiate Chapel,5.66598457146272,timeout,0,2.360964390391018e-07,3.5564116842579094e-07,0.005881954941773118,0.0,4.0978384773744374e-05,0.0,-0.006144484825693692,0.00030279994764066524,0.0,-4.776507375936489e-07
10,5,Expert,Boole Library,5.019935201942997,timeout,0,2.360964390391018e-07,3.5564116842579094e-07,0.00583912705613199,0.0,4.0978384773744374e-05,4.0622157625275433e-05,-0.006144484825693692,0.00030279994764066524,0.0,-4.776507375936489e-07
