round,player_Novice,player_Average,player_Expert,landmark_Glucksman Gallery,landmark_Honan Collegiate Chapel,landmark_Boole Library,landmark_The Quad / Aula Maxima,landmark_Brookfield Health Sciences Complex,landmark_Student Centre,landmark_Geography Building
1,0.0,0.0062464696399810605,0.0,0.0,0.0,0.0,-0.0062464696399810605,0.0,0.0,0.0
2,0.0,-0.0025826804903566723,0.0,0.0,0.0,0.0,-0.0062464696399810605,0.00873488874104587,0.0,0.0
3,0.006098147689501495,-0.0025826804903566723,0.0,0.0,0.0,0.0,-0.0062464696399810605,0.0025709337023770923,0.0,0.0
4,-0.0019940739486517577,-0.0025826804903566723,0.0,0.0,0.0,0.0,-0.0062464696399810605,0.0025709337023770923,0.00800582781283489,0.0
5,-0.0019940739486517577,-0.0025826804903566723,-0.016911352831364773,0.0,0.0,0.0,-0.0062464696399810605,0.0025709337023770923,0.00800582781283489,0.016911352831364773
6,-0.00791512501858888,-0.0025826804903566723,-0.016911352831364773,0.0,0.0,0.0,-0.0062464696399810605,0.0025709337023770923,0.01386418540085503,0.016911352831364773
7,-0.007703983172112643,-0.0025826804903566723,-0.016911352831364773,0.0,0.0,-0.0002045052575881607,-0.0062464696399810605,0.0025709337023770923,0.01386418540085503,0.016911352831364773
8,-0.007703983172112643,-0.0025826804903566723,-0.007004530879901898,0.0,0.0,-0.0002045052575881607,-0.0062464696399810605,0.0025709337023770923,0.01386418540085503,0.007004530879901898
9,-0.00695339739987167,-0.0025826804903566723,-0.007004530879901898,0.0,0.0,-0.0009316893948978337,-0.0062464696399810605,0.0025709337023770923,0.01386418540085503,0.007004530879901898
10,-0.008705483452252442,-0.0025826804903566723,-0.007004530879901898,0.0,0.0,-0.0009316893948978337,-0.0062464696399810605,0.0025709337023770923,0.015562083224811656,0.007004530879901898
11,-0.017407874499512827,-0.0025826804903566723,-0.007004530879901898,0.0,0.0,-0.0009316893948978337,-0.0062464696399810605,0.0025709337023770923,0.015562083224811656,0.015351319114788419
12,-0.023580851952050588,-0.0025826804903566723,-0.007004530879901898,0.0,0.005736504299328022,-0.0009316893948978337,-0.0062464696399810605,0.0025709337023770923,0.015562083224811656,0.015351319114788419
