round,time_limit,player,landmark,minutes_used,timing_tag,is_correct,player_Novice,player_Average,player_Expert,landmark_Glucksman Gallery,landmark_Honan Collegiate Chapel,landmark_Boole Library,landmark_The Quad / Aula Maxima,landmark_Brookfield Health Sciences Complex,landmark_Student Centre,landmark_Geography Building
1,15,Novice,Brookfield Health Sciences Complex,17.95984284935016,timeout,0,1.174320095742587e-07,0.0,0.0,0.0,0.0,0.0,0.0,-1.174320095742587e-07,0.0,0.0
2,15,Average,Geography Building,9.680111325159343,in_time,1,1.174320095742587e-07,0.007392546069756904,0.0,0.0,0.0,0.0,0.0,-1.174320095742587e-07,0.0,-0.007392546069756904
3,15,Expert,Geography Building,7.196029694989852,in_time,1,1.174320095742587e-07,0.007392546069756904,0.010776723196672082,0.0,0.0,0.0,0.0,-1.174320095742587e-07,0.0,-0.01831490066097861
4,15,Expert,The Quad / Aula Maxima,3.523875658920336,in_time,1,1.174320095742587e-07,0.007392546069756904,0.026839249803004783,0.0,0.0,0.0,-0.015848359584914932,-1.174320095742587e-07,0.0,-0.01831490066097861
5,15,Average,Geography Building,9.228190617355565,in_time,0,1.174320095742587e-07,-0.0008802236421809858,0.026839249803004783,0.0,0.0,0.0,-0.015848359584914932,-1.174320095742587e-07,0.0,-0.009931499556161906
6,15,Novice,Brookfield Health Sciences Complex,13.351377232551291,in_time,1,0.002315177232398268,-0.0008802236421809858,0.026839249803004783,0.0,0.0,0.0,-0.015848359584914932,-0.002315177232398268,0.0,-0.009931499556161906
7,15,Expert,Brookfield Health Sciences Complex,4.939181863602661,in_time,0,0.002315177232398268,-0.0008802236421809858,0.012358661573465239,0.0,0.0,0.0,-0.015848359584914932,0.012165410997141277,0.0,-0.009931499556161906
8,15,Average,Geography Building,8.564883124526343,in_time,1,0.002315177232398268,0.008172079077175196,0.012358661573465239,0.0,0.0,0.0,-0.015848359584914932,0.012165410997141277,0.0,-0.019103612164450744
9,15,Expert,Honan Collegiate Chapel,5.66598457146272,in_time,1,0.002315177232398268,0.008172079077175196,0.02570679890712204,0.0,-0.012826574803977012,0.0,-0.015848359584914932,0.012165410997141277,0.0,-0.019103612164450744
10,15,Expert,Boole Library,5.019935201942997,in_time,1,0.002315177232398268,0.008172079077175196,0.040053098885523115,0.0,-0.012826574803977012,-0.013607434743461965,-0.015848359584914932,0.012165410997141277,0.0,-0.019103612164450744
11,15,Novice,Student Centre,11.971567573522014,in_time,0,-0.0020105012567515302,0.008172079077175196,0.040053098885523115,0.0,-0.012826574803977012,-0.013607434743461965,-0.015848359584914932,0.012165410997141277,0.004211678177576304,-0.019103612164450744
12,15,Novice,The Quad / Aula Maxima,15.367260356192487,timeout,0,-0.0021099595938370644,0.008172079077175196,0.040053098885523115,0.0,-0.012826574803977012,-0.013607434743461965,-0.015751495813144674,0.012165410997141277,0.004211678177576304,-0.019103612164450744
13,15,Novice,Brookfield Health Sciences Complex,19.939067156772083,timeout,0,-0.002006464563103424,0.008172079077175196,0.040053098885523115,0.0,-0.012826574803977012,-0.013607434743461965,-0.015751495813144674,0.012063254264218847,0.004211678177576304,-0.019103612164450744
14,15,Average,The Quad / Aula Maxima,7.8149516361230456,in_time,1,-0.002006464563103424,0.018313922309926643,0.040053098885523115,0.0,-0.012826574803977012,-0.013607434743461965,-0.02576086213864683,0.012063254264218847,0.004211678177576304,-0.019103612164450744
15,15,Average,Boole Library,7.1100567292932295,in_time,1,-0.002006464563103424,0.029555135714201854,0.040053098885523115,0.0,-0.012826574803977012,-0.024413816110609055,-0.02576086213864683,0.012063254264218847,0.004211678177576304,-0.019103612164450744
16,15,Expert,Honan Collegiate Chapel,7.478894618868619,in_time,1,-0.002006464563103424,0.029555135714201854,0.0507265779257875,0.0,-0.02295579712264151,-0.024413816110609055,-0.02576086213864683,0.012063254264218847,0.004211678177576304,-0.019103612164450744
17,15,Average,Honan Collegiate Chapel,4.769918164735444,in_time,1,-0.002006464563103424,0.04419501211662155,0.0507265779257875,0.0,-0.03703499740752174,-0.024413816110609055,-0.02576086213864683,0.012063254264218847,0.004211678177576304,-0.019103612164450744
18,15,Expert,The Quad / Aula Maxima,5.916518070758791,in_time,1,-0.002006464563103424,0.04419501211662155,0.06363334873615692,0.0,-0.03703499740752174,-0.024413816110609055,-0.03817819079749943,0.012063254264218847,0.004211678177576304,-0.019103612164450744
19,15,Average,Honan Collegiate Chapel,6.319847747061918,in_time,1,-0.002006464563103424,0.05646838023431467,0.06363334873615692,0.0,-0.04884294285783043,-0.024413816110609055,-0.03817819079749943,0.012063254264218847,0.004211678177576304,-0.019103612164450744
20,15,Novice,Glucksman Gallery,11.23292053785403,in_time,0,-0.007540281915925543,0.05646838023431467,0.06363334873615692,0.005181594183264842,-0.04884294285783043,-0.024413816110609055,-0.03817819079749943,0.012063254264218847,0.004211678177576304,-0.019103612164450744
21,15,Average,Glucksman Gallery,11.575255658001545,in_time,1,-0.007540281915925543,0.061234114766434936,0.06363334873615692,0.0007722996300012185,-0.04884294285783043,-0.024413816110609055,-0.03817819079749943,0.012063254264218847,0.004211678177576304,-0.019103612164450744
22,15,Expert,Boole Library,6.4067706668423146,in_time,1,-0.007540281915925543,0.061234114766434936,0.07588016590872292,0.0007722996300012185,-0.04884294285783043,-0.03589626882718966,-0.03817819079749943,0.012063254264218847,0.004211678177576304,-0.019103612164450744
