round,player_Novice,player_Average,player_Expert,landmark_Glucksman Gallery,landmark_Honan Collegiate Chapel,landmark_Boole Library,landmark_The Quad / Aula Maxima,landmark_Brookfield Health Sciences Complex,landmark_Student Centre,landmark_Geography Building
1,0.00026989796308960623,0.0,0.0,0.0,0.0,0.0,-0.00026989796308960623,0.0,0.0,0.0
2,0.00026989796308960623,0.0,0.008220571386503863,-0.008220571386503863,0.0,0.0,-0.00026989796308960623,0.0,0.0,0.0
3,0.00026989796308960623,-0.004369246786522634,0.008220571386503863,-0.008220571386503863,0.0,0.0,-0.00026989796308960623,0.004369246786522634,0.0,0.0
4,0.00026989796308960623,-0.004369246786522634,0.018028086596596223,-0.008220571386503863,-0.009676748340624463,0.0,-0.00026989796308960623,0.004369246786522634,0.0,0.0
5,0.00026989796308960623,-0.004369246786522634,0.025614168769632267,-0.008220571386503863,-0.017162720924866773,0.0,-0.00026989796308960623,0.004369246786522634,0.0,0.0
6,0.00026989796308960623,0.0018649194912761556,0.025614168769632267,-0.008220571386503863,-0.017162720924866773,0.0,-0.0065040642408883955,0.004369246786522634,0.0,0.0
7,0.00026989796308960623,0.0018649194912761556,0.03306453442231224,-0.008220571386503863,-0.02451576685204004,0.0,-0.0065040642408883955,0.004369246786522634,0.0,0.0
8,0.00026989796308960623,0.01027900038040171,0.03306453442231224,-0.008220571386503863,-0.02451576685204004,0.0,-0.0065040642408883955,-0.0039337978445352795,0.0,0.0
9,0.00026989796308960623,0.018778640616962286,0.03306453442231224,-0.008220571386503863,-0.02451576685204004,0.0,-0.014892678697871257,-0.0039337978445352795,0.0,0.0
10,0.00026989796308960623,0.010323700163355343,0.03306453442231224,-0.008220571386503863,-0.02451576685204004,0.008019492876597147,-0.014892678697871257,-0.0039337978445352795,0.0,0.0
11,0.00026989796308960623,0.010323700163355343,0.043373239407037766,-0.008220571386503863,-0.02451576685204004,0.008019492876597147,-0.014892678697871257,-0.013976280892782961,0.0,0.0
12,0.00026989796308960623,0.010323700163355343,0.05150904163935142,-0.008220571386503863,-0.02451576685204004,0.00029854741533631626,-0.014892678697871257,-0.013976280892782961,0.0,0.0
13,0.00026989796308960623,0.016946560645247313,0.05150904163935142,-0.008220571386503863,-0.02451576685204004,-0.006070671601291708,-0.014892678697871257,-0.013976280892782961,0.0,0.0
14,-0.0006815928352273566,0.016946560645247313,0.05150904163935142,-0.008220571386503863,-0.02451576685204004,-0.006070671601291708,-0.014892678697871257,-0.013976280892782961,0.0009388042543394033,0.0
