round,time_limit,player,landmark,minutes_used,timing_tag,is_correct,player_Novice,player_Average,player_Expert,landmark_Glucksman Gallery,landmark_Honan Collegiate Chapel,landmark_Boole Library,landmark_The Quad / Aula Maxima,landmark_Brookfield Health Sciences Complex,landmark_Student Centre,landmark_Geography Building
1,10,Novice,Brookfield Health Sciences Complex,17.95984284935016,timeout,0,1.174320095742587e-07,0.0,0.0,0.0,0.0,0.0,0.0,-1.174320095742587e-07,0.0,0.0
2,10,Average,Geography Building,9.680111325159343,in_time,1,1.174320095742587e-07,0.0006668853886305688,0.0,0.0,0.0,0.0,0.0,-1.174320095742587e-07,0.0,-0.0006668853886305688
3,10,Expert,Geography Building,7.196029694989852,in_time,1,1.174320095742587e-07,0.0006668853886305688,0.005831136678626493,0.0,0.0,0.0,0.0,-1.174320095742587e-07,0.0,-0.0065768212115628255
4,10,Expert,The Quad / Aula Maxima,3.523875658920336,in_time,1,1.174320095742587e-07,0.0006668853886305688,0.019450711373787774,0.0,0.0,0.0,-0.013437980365892464,-1.174320095742587e-07,0.0,-0.0065768212115628255
5,10,Average,Geography Building,9.228190617355565,in_time,0,1.174320095742587e-07,-0.0010071074430872422,0.019450711373787774,0.0,0.0,0.0,-0.013437980365892464,-1.174320095742587e-07,0.0,-0.004880442145839873
6,10,Novice,Brookfield Health Sciences Complex,13.351377232551291,timeout,0,2.360964390391018e-07,-0.0010071074430872422,0.019450711373787774,0.0,0.0,0.0,-0.013437980365892464,-2.360964390391018e-07,0.0,-0.004880442145839873
7,10,Expert,Brookfield Health Sciences Complex,4.939181863602661,in_time,0,2.360964390391018e-07,-0.0010071074430872422,0.008542681098746554,0.0,0.0,0.0,-0.013437980365892464,0.01090779417860218,0.0,-0.004880442145839873
8,10,Average,Geography Building,8.564883124526343,in_time,1,2.360964390391018e-07,0.0020150798239766893,0.008542681098746554,0.0,0.0,0.0,-0.013437980365892464,0.01090779417860218,0.0,-0.007942628950262003
9,10,Expert,Honan Collegiate Chapel,5.66598457146272,in_time,1,2.360964390391018e-07,0.0020150798239766893,0.01783995645723814,0.0,-0.008933995424078744,0.0,-0.013437980365892464,0.01090779417860218,0.0,-0.007942628950262003
10,10,Expert,Boole Library,5.019935201942997,in_time,1,2.360964390391018e-07,0.0020150798239766893,0.02858839107356549,0.0,-0.008933995424078744,-0.010194867168276162,-0.013437980365892464,0.01090779417860218,0.0,-0.007942628950262003
11,10,Novice,Student Centre,11.971567573522014,timeout,0,3.563454083632677e-07,0.0020150798239766893,0.02858839107356549,0.0,-0.008933995424078744,-0.010194867168276162,-0.013437980365892464,0.01090779417860218,-1.1707988960552028e-07,-0.007942628950262003
