round,player_Novice,player_Average,player_Expert,landmark_Glucksman Gallery,landmark_Honan Collegiate Chapel,landmark_Boole Library,landmark_The Quad / Aula Maxima,landmark_Brookfield Health Sciences Complex,landmark_Student Centre,landmark_Geography Building
1,0.0,0.0024761454501002764,0.0,0.0,0.0,0.0,-0.0024761454501002764,0.0,0.0,0.0
2,0.0,-0.0010610529763736228,0.0,0.0,0.0,0.0,-0.0024761454501002764,0.0034432905036471577,0.0,0.0
3,0.0023947464105547865,-0.0010610529763736228,0.0,0.0,0.0,0.0,-0.0024761454501002764,0.0009832328273499673,0.0,0.0
4,-0.0008463434241300564,-0.0010610529763736228,0.0,0.0,0.0,0.0,-0.0024761454501002764,0.0009832328273499673,0.0031550432019055987,0.0
5,-0.0008463434241300564,-0.0010610529763736228,-0.006703781781055975,0.0,0.0,0.0,-0.0024761454501002764,0.0009832328273499673,0.0031550432019055987,0.006703781781055975
6,-0.003278178930161282,-0.0010610529763736228,-0.006703781781055975,0.0,0.0,0.0,-0.0024761454501002764,0.0009832328273499673,0.005523622871074741,0.006703781781055975
7,-0.0032080670029352226,-0.0010610529763736228,-0.006703781781055975,0.0,0.0,-6.477947078914767e-05,-0.0024761454501002764,0.0009832328273499673,0.005523622871074741,0.006703781781055975
8,-0.0032080670029352226,-0.0010610529763736228,-0.002798803811877692,0.0,0.0,-6.477947078914767e-05,-0.0024761454501002764,0.0009832328273499673,0.005523622871074741,0.002798803811877692
9,-0.002910738119106466,-0.0010610529763736228,-0.002798803811877692,0.0,0.0,-0.0003399318909069197,-0.0024761454501002764,0.0009832328273499673,0.005523622871074741,0.002798803811877692
10,-0.0036989064250914656,-0.0010610529763736228,-0.002798803811877692,0.0,0.0,-0.0003399318909069197,-0.0024761454501002764,0.0009832328273499673,0.006254120325402302,0.002798803811877692
11,-0.0074590346417362195,-0.0010610529763736228,-0.002798803811877692,0.0,0.0,-0.0003399318909069197,-0.0024761454501002764,0.0009832328273499673,0.006254120325402302,0.006199874692185016
12,-0.010180331823144779,-0.0010610529763736228,-0.002798803811877692,0.0,0.0022782953146676306,-0.0003399318909069197,-0.0024761454501002764,0.0009832328273499673,0.006254120325402302,0.006199874692185016
13,-0.010180331823144779,-0.0010610529763736228,0.0027602320431029206,0.0,0.0022782953146676306,-0.0003399318909069197,-0.0024761454501002764,0.0009832328273499673,0.0005496445788669632,0.006199874692185016
14,-0.010180331823144779,-0.0010610529763736228,0.009837314939174495,0.0,0.0022782953146676306,-0.0003399318909069197,-0.0024761454501002764,0.0009832328273499673,0.0005496445788669632,-0.0008772082038865587
15,-0.010180331823144779,0.00314595884020526,0.009837314939174495,0.0,-0.0018192855587054438,-0.0003399318909069197,-0.0024761454501002764,0.0009832328273499673,0.0005496445788669632,-0.0008772082038865587
